uf,Ano,Frase,Contagem,Porcentagem
AC,2015,Homicídio doloso,127,11.36
AC,2015,Tentativa de feminicídio,101,9.03
AC,2015,Lesão corporal seguida de morte,91,8.14
AC,2015,Feminicídio,88,7.87
AC,2015,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),79,7.07
AC,2015,Suicídio,67,5.99
AC,2015,Tentativa de homicídio,67,5.99
AC,2015,Suicídio de Agente do Estado,66,5.9
AC,2015,Morte por intervenção de Agente do Estado,63,5.64
AC,2015,Roubo seguido de morte (latrocínio),62,5.55
AC,2015,Mortes a esclarecer (sem indício de crime),40,3.58
AC,2015,Roubo de veículo,26,2.33
AC,2015,Roubo de carga,25,2.24
AC,2015,Roubo a instituição financeira,20,1.79
AC,2015,Morte de Agente do Estado,19,1.7
AC,2015,Furto de veículo,18,1.61
AC,2015,Realização de vistorias,18,1.61
AC,2015,Emissão de Alvarás de licença,16,1.43
AC,2015,Atendimento pré-hospitalar,15,1.34
AC,2015,Busca e salvamento,14,1.25
AC,2015,Combate a incêndios,13,1.16
AC,2015,Estupro de vulnerável,13,1.16
AC,2015,Pessoa Localizada,12,1.07
AC,2015,Estupro,12,1.07
AC,2015,Arma de Fogo Apreendida,11,0.98
AC,2015,Tráfico de drogas,11,0.98
AC,2015,Apreensão de Maconha,9,0.81
AC,2015,Apreensão de Cocaína,8,0.72
AC,2015,Mandado de prisão cumprido,5,0.45
AC,2015,Pessoa Desaparecida,2,0.18
AC,2016,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),128,11.66
AC,2016,Tentativa de feminicídio,106,9.65
AC,2016,Feminicídio,101,9.2
AC,2016,Homicídio doloso,80,7.29
AC,2016,Roubo seguido de morte (latrocínio),75,6.83
AC,2016,Morte por intervenção de Agente do Estado,69,6.28
AC,2016,Lesão corporal seguida de morte,59,5.37
AC,2016,Mortes a esclarecer (sem indício de crime),59,5.37
AC,2016,Tentativa de homicídio,58,5.28
AC,2016,Suicídio,42,3.83
AC,2016,Suicídio de Agente do Estado,40,3.64
AC,2016,Furto de veículo,25,2.28
AC,2016,Roubo de carga,20,1.82
AC,2016,Emissão de Alvarás de licença,19,1.73
AC,2016,Estupro de vulnerável,19,1.73
AC,2016,Realização de vistorias,19,1.73
AC,2016,Roubo a instituição financeira,19,1.73
AC,2016,Roubo de veículo,18,1.64
AC,2016,Estupro,17,1.55
AC,2016,Morte de Agente do Estado,15,1.37
AC,2016,Atendimento pré-hospitalar,15,1.37
AC,2016,Busca e salvamento,15,1.37
AC,2016,Pessoa Localizada,13,1.18
AC,2016,Tráfico de drogas,13,1.18
AC,2016,Arma de Fogo Apreendida,12,1.09
AC,2016,Combate a incêndios,12,1.09
AC,2016,Apreensão de Cocaína,11,1.0
AC,2016,Apreensão de Maconha,9,0.82
AC,2016,Mandado de prisão cumprido,6,0.55
AC,2016,Pessoa Desaparecida,4,0.36
AC,2017,Lesão corporal seguida de morte,96,8.91
AC,2017,Feminicídio,89,8.26
AC,2017,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),87,8.07
AC,2017,Homicídio doloso,86,7.98
AC,2017,Tentativa de homicídio,78,7.24
AC,2017,Tentativa de feminicídio,71,6.59
AC,2017,Roubo seguido de morte (latrocínio),67,6.22
AC,2017,Suicídio,65,6.03
AC,2017,Morte por intervenção de Agente do Estado,58,5.38
AC,2017,Mortes a esclarecer (sem indício de crime),51,4.73
AC,2017,Suicídio de Agente do Estado,39,3.62
AC,2017,Roubo de veículo,31,2.88
AC,2017,Roubo a instituição financeira,28,2.6
AC,2017,Roubo de carga,27,2.5
AC,2017,Emissão de Alvarás de licença,18,1.67
AC,2017,Arma de Fogo Apreendida,17,1.58
AC,2017,Pessoa Localizada,17,1.58
AC,2017,Estupro,16,1.48
AC,2017,Furto de veículo,15,1.39
AC,2017,Tráfico de drogas,15,1.39
AC,2017,Busca e salvamento,14,1.3
AC,2017,Estupro de vulnerável,13,1.21
AC,2017,Realização de vistorias,13,1.21
AC,2017,Morte de Agente do Estado,12,1.11
AC,2017,Apreensão de Maconha,12,1.11
AC,2017,Combate a incêndios,12,1.11
AC,2017,Apreensão de Cocaína,11,1.02
AC,2017,Atendimento pré-hospitalar,11,1.02
AC,2017,Mandado de prisão cumprido,5,0.46
AC,2017,Pessoa Desaparecida,4,0.37
AC,2018,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),116,10.44
AC,2018,Homicídio doloso,113,10.17
AC,2018,Lesão corporal seguida de morte,93,8.37
AC,2018,Roubo seguido de morte (latrocínio),86,7.74
AC,2018,Feminicídio,73,6.57
AC,2018,Morte por intervenção de Agente do Estado,70,6.3
AC,2018,Tentativa de feminicídio,68,6.12
AC,2018,Suicídio,53,4.77
AC,2018,Mortes a esclarecer (sem indício de crime),50,4.5
AC,2018,Suicídio de Agente do Estado,49,4.41
AC,2018,Tentativa de homicídio,46,4.14
AC,2018,Roubo de veículo,31,2.79
AC,2018,Roubo a instituição financeira,30,2.7
AC,2018,Furto de veículo,24,2.16
AC,2018,Roubo de carga,20,1.8
AC,2018,Pessoa Localizada,19,1.71
AC,2018,Estupro de vulnerável,19,1.71
AC,2018,Realização de vistorias,18,1.62
AC,2018,Atendimento pré-hospitalar,17,1.53
AC,2018,Morte de Agente do Estado,16,1.44
AC,2018,Tráfico de drogas,15,1.35
AC,2018,Busca e salvamento,13,1.17
AC,2018,Emissão de Alvarás de licença,13,1.17
AC,2018,Estupro,12,1.08
AC,2018,Arma de Fogo Apreendida,11,0.99
AC,2018,Combate a incêndios,11,0.99
AC,2018,Apreensão de Maconha,9,0.81
AC,2018,Apreensão de Cocaína,8,0.72
AC,2018,Mandado de prisão cumprido,5,0.45
AC,2018,Pessoa Desaparecida,3,0.27
AC,2019,Homicídio doloso,124,11.13
AC,2019,Feminicídio,113,10.14
AC,2019,Roubo seguido de morte (latrocínio),101,9.07
AC,2019,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),84,7.54
AC,2019,Lesão corporal seguida de morte,71,6.37
AC,2019,Suicídio,67,6.01
AC,2019,Tentativa de feminicídio,67,6.01
AC,2019,Tentativa de homicídio,60,5.39
AC,2019,Morte por intervenção de Agente do Estado,57,5.12
AC,2019,Mortes a esclarecer (sem indício de crime),48,4.31
AC,2019,Suicídio de Agente do Estado,42,3.77
AC,2019,Roubo a instituição financeira,27,2.42
AC,2019,Roubo de carga,25,2.24
AC,2019,Pessoa Localizada,19,1.71
AC,2019,Combate a incêndios,19,1.71
AC,2019,Emissão de Alvarás de licença,19,1.71
AC,2019,Furto de veículo,18,1.62
AC,2019,Roubo de veículo,18,1.62
AC,2019,Atendimento pré-hospitalar,17,1.53
AC,2019,Estupro de vulnerável,15,1.35
AC,2019,Arma de Fogo Apreendida,14,1.26
AC,2019,Busca e salvamento,14,1.26
AC,2019,Estupro,13,1.17
AC,2019,Tráfico de drogas,13,1.17
AC,2019,Morte de Agente do Estado,12,1.08
AC,2019,Realização de vistorias,11,0.99
AC,2019,Apreensão de Maconha,10,0.9
AC,2019,Apreensão de Cocaína,9,0.81
AC,2019,Mandado de prisão cumprido,4,0.36
AC,2019,Pessoa Desaparecida,3,0.27
AC,2020,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),129,11.24
AC,2020,Feminicídio,118,10.28
AC,2020,Roubo seguido de morte (latrocínio),94,8.19
AC,2020,Homicídio doloso,84,7.32
AC,2020,Tentativa de feminicídio,80,6.97
AC,2020,Morte por intervenção de Agente do Estado,71,6.18
AC,2020,Tentativa de homicídio,68,5.92
AC,2020,Suicídio,64,5.57
AC,2020,Lesão corporal seguida de morte,63,5.49
AC,2020,Suicídio de Agente do Estado,59,5.14
AC,2020,Mortes a esclarecer (sem indício de crime),42,3.66
AC,2020,Roubo de veículo,32,2.79
AC,2020,Roubo a instituição financeira,28,2.44
AC,2020,Roubo de carga,23,2.0
AC,2020,Emissão de Alvarás de licença,17,1.48
AC,2020,Furto de veículo,17,1.48
AC,2020,Morte de Agente do Estado,16,1.39
AC,2020,Combate a incêndios,16,1.39
AC,2020,Estupro de vulnerável,15,1.31
AC,2020,Arma de Fogo Apreendida,14,1.22
AC,2020,Apreensão de Cocaína,12,1.05
AC,2020,Atendimento pré-hospitalar,12,1.05
AC,2020,Realização de vistorias,12,1.05
AC,2020,Tráfico de drogas,12,1.05
AC,2020,Pessoa Localizada,11,0.96
AC,2020,Busca e salvamento,11,0.96
AC,2020,Estupro,11,0.96
AC,2020,Apreensão de Maconha,9,0.78
AC,2020,Mandado de prisão cumprido,5,0.44
AC,2020,Pessoa Desaparecida,3,0.26
AC,2021,Roubo seguido de morte (latrocínio),101,8.98
AC,2021,Lesão corporal seguida de morte,100,8.89
AC,2021,Tentativa de feminicídio,97,8.62
AC,2021,Feminicídio,86,7.64
AC,2021,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),85,7.56
AC,2021,Homicídio doloso,77,6.84
