uf,Ano,Frase,Contagem,Porcentagem
AC,2015,Homicídio doloso,127,11.36
AC,2015,Lesão corporal seguida de morte,91,8.14
AC,2015,Feminicídio,88,7.87
AC,2015,Morte no trânsito,79,07.07
AC,2015,Suicídio,67,5.99
AC,2015,Suicídio ,66,5.9
AC,2015,Morte por intervenção de Agente do Estado,63,5.64
AC,2015,Latrocínio,62,5.55
AC,2015,Mortes a esclarecer,40,3.58
AC,2015,Morte de Agente do Estado,19,1.7
AC,2016,Morte no trânsito,128,11.66
AC,2016,Feminicídio,101,9.2
AC,2016,Homicídio doloso,80,7.29
AC,2016,Morte por intervenção de Agente do Estado,69,6.28
AC,2016,Lesão corporal seguida de morte,59,5.37
AC,2016,Mortes a esclarecer,59,5.37
AC,2016,Suicídio,42,3.83
AC,2016,Suicídio ,40,3.64
AC,2016,Morte de Agente do Estado,15,1.37
AC,2017,Lesão corporal seguida de morte,96,8.91
AC,2017,Feminicídio,89,8.26
AC,2017,Morte no trânsito,87,08.07
AC,2017,Homicídio doloso,86,7.98
AC,2017,Suicídio,65,06.03
AC,2017,Morte por intervenção de Agente do Estado,58,5.38
AC,2017,Mortes a esclarecer,51,4.73
AC,2017,Suicídio ,39,3.62
AC,2017,Morte de Agente do Estado,12,1.11
AC,2018,Morte no trânsito,116,10.44
AC,2018,Homicídio doloso,113,10.17
AC,2018,Lesão corporal seguida de morte,93,8.37
AC,2018,Feminicídio,73,6.57
AC,2018,Morte por intervenção de Agente do Estado,70,6.3
AC,2018,Suicídio,53,4.77
AC,2018,Mortes a esclarecer,50,4.5
AC,2018,Suicídio ,49,4.41
AC,2018,Morte de Agente do Estado,16,1.44
AC,2019,Homicídio doloso,124,11.13
AC,2019,Feminicídio,113,10.14
AC,2019,Morte no trânsito,84,7.54
AC,2019,Lesão corporal seguida de morte,71,6.37
AC,2019,Suicídio,67,06.01
AC,2019,Morte por intervenção de Agente do Estado,57,5.12
AC,2019,Mortes a esclarecer,48,4.31
AC,2019,Suicídio ,42,3.77
AC,2019,Morte de Agente do Estado,12,01.08
AC,2020,Morte no trânsito,129,11.24
AC,2020,Feminicídio,118,10.28
AC,2020,Homicídio doloso,84,7.32
AC,2020,Morte por intervenção de Agente do Estado,71,6.18
AC,2020,Suicídio,64,5.57
AC,2020,Lesão corporal seguida de morte,63,5.49
AC,2020,Suicídio ,59,5.14
AC,2020,Mortes a esclarecer,42,3.66
AC,2020,Morte de Agente do Estado,16,1.39
AC,2021,Lesão corporal seguida de morte,100,8.89
AC,2021,Feminicídio,86,7.64
AC,2021,Morte no trânsito,85,7.56
AC,2021,Homicídio doloso,77,6.84
AC,2021,Morte por intervenção de Agente do Estado,69,6.13
AC,2021,Suicídio ,68,06.04
AC,2021,Suicídio,57,05.07
AC,2021,Mortes a esclarecer,55,4.89
AC,2021,Morte de Agente do Estado,19,1.69
AC,2022,Morte no trânsito,113,9.83
AC,2022,Homicídio doloso,112,9.74
AC,2022,Feminicídio,98,8.52
AC,2022,Lesão corporal seguida de morte,87,7.57
AC,2022,Suicídio,63,5.48
AC,2022,Morte por intervenção de Agente do Estado,53,4.61
AC,2022,Mortes a esclarecer,42,3.65
AC,2022,Suicídio ,42,3.65
AC,2022,Morte de Agente do Estado,16,1.39
AC,2023,Homicídio doloso,127,10.06
AC,2023,Feminicídio,120,9.5
AC,2023,Lesão corporal seguida de morte,100,7.92
AC,2023,Morte por intervenção de Agente do Estado,80,6.33
AC,2023,Morte no trânsito,71,5.62
AC,2023,Suicídio,70,5.54
AC,2023,Suicídio ,67,5.3
AC,2023,Mortes a esclarecer,63,4.99
AC,2023,Morte de Agente do Estado,14,1.11
AC,2024,Homicídio doloso,119,9.92
AC,2024,Feminicídio,113,9.42
AC,2024,Morte no trânsito,101,8.42
AC,2024,Lesão corporal seguida de morte,98,8.17
AC,2024,Suicídio,60,5.0
AC,2024,Suicídio ,51,4.25
AC,2024,Mortes a esclarecer,50,4.17
AC,2024,Morte por intervenção de Agente do Estado,50,4.17
AC,2024,Morte de Agente do Estado,14,1.17
AL,2015,Morte no trânsito,114,10.06
AL,2015,Homicídio doloso,102,9.0
AL,2015,Morte por intervenção de Agente do Estado,83,7.33
AL,2015,Lesão corporal seguida de morte,82,7.24
AL,2015,Feminicídio,69,06.09
AL,2015,Mortes a esclarecer,64,5.65
AL,2015,Suicídio,49,4.32
AL,2015,Suicídio ,39,3.44
AL,2015,Morte de Agente do Estado,11,0.97
AL,2016,Homicídio doloso,115,10.93
AL,2016,Feminicídio,87,8.27
AL,2016,Morte no trânsito,73,6.94
AL,2016,Suicídio,62,5.89
AL,2016,Lesão corporal seguida de morte,57,5.42
AL,2016,Morte por intervenção de Agente do Estado,48,4.56
AL,2016,Suicídio ,44,4.18
AL,2016,Mortes a esclarecer,36,3.42
AL,2016,Morte de Agente do Estado,15,1.43
AL,2017,Morte no trânsito,126,11.0
AL,2017,Homicídio doloso,109,9.52
AL,2017,Feminicídio,89,7.77
AL,2017,Lesão corporal seguida de morte,78,6.81
AL,2017,Morte por intervenção de Agente do Estado,74,6.46
AL,2017,Suicídio,68,5.94
AL,2017,Mortes a esclarecer,47,4.1
AL,2017,Suicídio ,42,3.67
AL,2017,Morte de Agente do Estado,11,0.96
AL,2018,Feminicídio,123,10.29
AL,2018,Homicídio doloso,95,7.95
AL,2018,Morte no trânsito,90,7.53
AL,2018,Lesão corporal seguida de morte,74,6.19
AL,2018,Morte por intervenção de Agente do Estado,70,5.86
AL,2018,Mortes a esclarecer,63,5.27
AL,2018,Suicídio ,55,4.6
AL,2018,Suicídio,53,4.44
AL,2018,Morte de Agente do Estado,19,1.59
AL,2019,Homicídio doloso,117,10.46
AL,2019,Feminicídio,112,10.01
AL,2019,Morte por intervenção de Agente do Estado,77,6.88
AL,2019,Morte no trânsito,73,6.52
AL,2019,Suicídio,68,06.08
AL,2019,Lesão corporal seguida de morte,60,5.36
AL,2019,Suicídio ,59,5.27
AL,2019,Mortes a esclarecer,51,4.56
AL,2019,Morte de Agente do Estado,17,1.52
AL,2020,Feminicídio,111,10.3
AL,2020,Homicídio doloso,104,9.65
AL,2020,Morte no trânsito,77,7.14
AL,2020,Lesão corporal seguida de morte,76,07.05
AL,2020,Morte por intervenção de Agente do Estado,66,6.12
AL,2020,Suicídio ,63,5.84
AL,2020,Suicídio,54,05.01
AL,2020,Mortes a esclarecer,50,4.64
AL,2020,Morte de Agente do Estado,16,1.48
AL,2021,Homicídio doloso,112,9.36
AL,2021,Morte no trânsito,105,8.77
AL,2021,Feminicídio,102,8.52
AL,2021,Lesão corporal seguida de morte,78,6.52
AL,2021,Morte por intervenção de Agente do Estado,72,06.02
AL,2021,Mortes a esclarecer,62,5.18
AL,2021,Suicídio,48,04.01
AL,2021,Suicídio ,48,04.01
AL,2021,Morte de Agente do Estado,16,1.34
AL,2022,Feminicídio,101,8.65
AL,2022,Lesão corporal seguida de morte,101,8.65
AL,2022,Homicídio doloso,95,8.13
AL,2022,Morte por intervenção de Agente do Estado,75,6.42
AL,2022,Morte no trânsito,73,6.25
AL,2022,Suicídio ,71,06.08
AL,2022,Suicídio,65,5.57
AL,2022,Mortes a esclarecer,36,03.08
AL,2022,Morte de Agente do Estado,14,1.2
AL,2023,Feminicídio,121,10.62
AL,2023,Morte no trânsito,107,9.39
AL,2023,Homicídio doloso,106,9.31
AL,2023,Lesão corporal seguida de morte,67,5.88
AL,2023,Suicídio,61,5.36
AL,2023,Morte por intervenção de Agente do Estado,59,5.18
AL,2023,Suicídio ,57,5.0
AL,2023,Mortes a esclarecer,46,04.04
AL,2023,Morte de Agente do Estado,18,1.58
AL,2024,Morte no trânsito,122,10.6
AL,2024,Homicídio doloso,117,10.17
AL,2024,Feminicídio,96,8.34
AL,2024,Morte por intervenção de Agente do Estado,80,6.95
AL,2024,Lesão corporal seguida de morte,75,6.52
AL,2024,Suicídio,69,5.99
AL,2024,Mortes a esclarecer,63,5.47
AL,2024,Suicídio ,55,4.78
AL,2024,Morte de Agente do Estado,19,1.65
AM,2015,Homicídio doloso,87,8.35
AM,2015,Morte no trânsito,77,7.39
AM,2015,Feminicídio,76,7.29
AM,2015,Morte por intervenção de Agente do Estado,70,6.72
AM,2015,Lesão corporal seguida de morte,64,6.14
AM,2015,Suicídio ,59,5.66
AM,2015,Suicídio,51,4.89
AM,2015,Mortes a esclarecer,49,4.7
AM,2015,Morte de Agente do Estado,18,1.73
AM,2016,Homicídio doloso,124,11.3
AM,2016,Feminicídio,107,9.75
AM,2016,Lesão corporal seguida de morte,81,7.38
AM,2016,Morte no trânsito,76,6.93
AM,2016,Morte por intervenção de Agente do Estado,62,5.65
AM,2016,Mortes a esclarecer,48,4.38
AM,2016,Suicídio,47,4.28
AM,2016,Suicídio ,45,4.1
AM,2016,Morte de Agente do Estado,13,1.19
AM,2017,Homicídio doloso,129,11.96
AM,2017,Feminicídio,87,08.06
AM,2017,Lesão corporal seguida de morte,85,7.88
AM,2017,Morte por intervenção de Agente do Estado,82,7.6
AM,2017,Morte no trânsito,76,07.04
AM,2017,Suicídio,44,04.08
AM,2017,Suicídio ,41,3.8
AM,2017,Mortes a esclarecer,40,3.71
AM,2017,Morte de Agente do Estado,19,1.76
AM,2018,Homicídio doloso,96,09.03
AM,2018,Feminicídio,85,8.0
AM,2018,Lesão corporal seguida de morte,80,7.53
AM,2018,Morte no trânsito,77,7.24
AM,2018,Morte por intervenção de Agente do Estado,59,5.55
AM,2018,Suicídio,58,5.46
AM,2018,Mortes a esclarecer,53,4.99
AM,2018,Suicídio ,50,4.7
AM,2018,Morte de Agente do Estado,11,01.03
AM,2019,Feminicídio,120,10.94
AM,2019,Morte no trânsito,104,9.48
AM,2019,Homicídio doloso,81,7.38
AM,2019,Suicídio,65,5.93
AM,2019,Mortes a esclarecer,60,5.47
AM,2019,Suicídio ,60,5.47
AM,2019,Lesão corporal seguida de morte,59,5.38
AM,2019,Morte por intervenção de Agente do Estado,55,05.01
AM,2019,Morte de Agente do Estado,18,1.64
AM,2020,Homicídio doloso,126,10.85
AM,2020,Lesão corporal seguida de morte,86,7.41
AM,2020,Morte no trânsito,78,6.72
AM,2020,Morte por intervenção de Agente do Estado,77,6.63
AM,2020,Feminicídio,73,6.29
AM,2020,Mortes a esclarecer,59,05.08
AM,2020,Suicídio,56,4.82
AM,2020,Suicídio ,47,04.05
AM,2020,Morte de Agente do Estado,13,1.12
AM,2021,Feminicídio,106,9.19
AM,2021,Homicídio doloso,103,8.93
AM,2021,Morte no trânsito,81,07.03
AM,2021,Lesão corporal seguida de morte,68,5.9
AM,2021,Mortes a esclarecer,62,5.38
AM,2021,Morte por intervenção de Agente do Estado,62,5.38
AM,2021,Suicídio ,55,4.77
AM,2021,Suicídio,52,4.51
AM,2021,Morte de Agente do Estado,16,1.39
AM,2022,Feminicídio,123,10.73
AM,2022,Morte no trânsito,122,10.65
AM,2022,Homicídio doloso,120,10.47
AM,2022,Morte por intervenção de Agente do Estado,65,5.67
AM,2022,Lesão corporal seguida de morte,62,5.41
AM,2022,Suicídio,52,4.54
AM,2022,Mortes a esclarecer,51,4.45
AM,2022,Suicídio ,50,4.36
AM,2022,Morte de Agente do Estado,11,0.96
AM,2023,Homicídio doloso,110,10.53
AM,2023,Morte no trânsito,79,7.56
AM,2023,Suicídio,71,6.79
AM,2023,Feminicídio,67,6.41
AM,2023,Lesão corporal seguida de morte,65,6.22
AM,2023,Morte por intervenção de Agente do Estado,61,5.84
AM,2023,Mortes a esclarecer,47,4.5
AM,2023,Suicídio ,45,4.31
AM,2023,Morte de Agente do Estado,17,1.63
AM,2024,Feminicídio,88,8.5
AM,2024,Lesão corporal seguida de morte,87,8.41
AM,2024,Homicídio doloso,86,8.31
AM,2024,Morte no trânsito,72,6.96
AM,2024,Morte por intervenção de Agente do Estado,72,6.96
AM,2024,Suicídio,60,5.8
AM,2024,Mortes a esclarecer,40,3.86
AM,2024,Suicídio ,39,3.77
AM,2024,Morte de Agente do Estado,17,1.64
AP,2015,Morte no trânsito,95,8.84
AP,2015,Feminicídio,78,7.26
AP,2015,Homicídio doloso,72,6.7
AP,2015,Lesão corporal seguida de morte,65,06.05
AP,2015,Mortes a esclarecer,62,5.77
AP,2015,Morte por intervenção de Agente do Estado,62,5.77
AP,2015,Suicídio ,59,5.49
AP,2015,Suicídio,50,4.65
AP,2015,Morte de Agente do Estado,13,1.21
AP,2016,Homicídio doloso,120,11.04
AP,2016,Lesão corporal seguida de morte,103,9.48
AP,2016,Morte no trânsito,80,7.36
AP,2016,Feminicídio,74,6.81
AP,2016,Suicídio,69,6.35
AP,2016,Morte por intervenção de Agente do Estado,62,5.7
AP,2016,Suicídio ,60,5.52
AP,2016,Mortes a esclarecer,43,3.96
AP,2016,Morte de Agente do Estado,15,1.38
AP,2017,Homicídio doloso,106,9.68
AP,2017,Morte no trânsito,87,7.95
AP,2017,Morte por intervenção de Agente do Estado,74,6.76
AP,2017,Feminicídio,71,6.48
AP,2017,Lesão corporal seguida de morte,68,6.21
AP,2017,Suicídio ,63,5.75
AP,2017,Suicídio,48,4.38
AP,2017,Mortes a esclarecer,46,4.2
AP,2017,Morte de Agente do Estado,19,1.74
AP,2018,Feminicídio,112,9.47
AP,2018,Homicídio doloso,112,9.47
AP,2018,Morte no trânsito,92,7.78
AP,2018,Morte por intervenção de Agente do Estado,73,6.17
AP,2018,Lesão corporal seguida de morte,69,5.83
AP,2018,Suicídio ,67,5.66
AP,2018,Suicídio,43,3.63
AP,2018,Mortes a esclarecer,38,3.21
AP,2018,Morte de Agente do Estado,15,1.27
AP,2019,Morte no trânsito,127,10.64
AP,2019,Feminicídio,106,8.88
AP,2019,Lesão corporal seguida de morte,100,8.38
AP,2019,Homicídio doloso,88,7.37
AP,2019,Morte por intervenção de Agente do Estado,80,6.7
AP,2019,Suicídio,66,5.53
AP,2019,Mortes a esclarecer,49,4.1
AP,2019,Suicídio ,46,3.85
AP,2019,Morte de Agente do Estado,16,1.34
AP,2020,Morte no trânsito,130,10.6
AP,2020,Feminicídio,116,9.46
AP,2020,Homicídio doloso,102,8.32
AP,2020,Lesão corporal seguida de morte,101,8.24
AP,2020,Morte por intervenção de Agente do Estado,84,6.85
AP,2020,Suicídio ,64,5.22
AP,2020,Suicídio,52,4.24
AP,2020,Mortes a esclarecer,46,3.75
AP,2020,Morte de Agente do Estado,19,1.55
AP,2021,Morte no trânsito,127,10.74
AP,2021,Feminicídio,111,9.38
AP,2021,Morte por intervenção de Agente do Estado,84,7.1
AP,2021,Lesão corporal seguida de morte,76,6.42
AP,2021,Homicídio doloso,75,6.34
AP,2021,Suicídio ,59,4.99
AP,2021,Mortes a esclarecer,49,4.14
AP,2021,Suicídio,44,3.72
AP,2021,Morte de Agente do Estado,16,1.35
AP,2022,Feminicídio,113,10.2
AP,2022,Morte no trânsito,106,9.57
AP,2022,Homicídio doloso,83,7.49
AP,2022,Morte por intervenção de Agente do Estado,72,6.5
AP,2022,Lesão corporal seguida de morte,67,06.05
AP,2022,Suicídio,67,06.05
AP,2022,Suicídio ,67,06.05
AP,2022,Mortes a esclarecer,52,4.69
AP,2022,Morte de Agente do Estado,19,1.71
AP,2023,Feminicídio,114,9.5
AP,2023,Homicídio doloso,91,7.58
AP,2023,Lesão corporal seguida de morte,89,7.42
AP,2023,Morte no trânsito,86,7.17
AP,2023,Suicídio ,62,5.17
AP,2023,Mortes a esclarecer,61,05.08
AP,2023,Suicídio,60,5.0
AP,2023,Morte por intervenção de Agente do Estado,52,4.33
AP,2023,Morte de Agente do Estado,18,1.5
AP,2024,Homicídio doloso,129,10.79
AP,2024,Morte no trânsito,108,09.03
AP,2024,Feminicídio,102,8.53
AP,2024,Lesão corporal seguida de morte,86,7.19
AP,2024,Suicídio ,59,4.93
AP,2024,Mortes a esclarecer,51,4.26
AP,2024,Morte por intervenção de Agente do Estado,47,3.93
AP,2024,Suicídio,42,3.51
AP,2024,Morte de Agente do Estado,14,1.17
BA,2015,Feminicídio,110,10.0
BA,2015,Morte no trânsito,99,9.0
BA,2015,Homicídio doloso,71,6.45
BA,2015,Morte por intervenção de Agente do Estado,62,5.64
BA,2015,Mortes a esclarecer,58,5.27
BA,2015,Lesão corporal seguida de morte,57,5.18
BA,2015,Suicídio,53,4.82
BA,2015,Suicídio ,44,4.0
BA,2015,Morte de Agente do Estado,15,1.36
BA,2016,Feminicídio,117,10.03
BA,2016,Morte no trânsito,109,9.34
BA,2016,Homicídio doloso,84,7.2
BA,2016,Morte por intervenção de Agente do Estado,72,6.17
BA,2016,Lesão corporal seguida de morte,66,5.66
BA,2016,Suicídio ,64,5.48
BA,2016,Suicídio,54,4.63
BA,2016,Mortes a esclarecer,46,3.94
BA,2016,Morte de Agente do Estado,17,1.46
BA,2017,Homicídio doloso,118,11.17
BA,2017,Feminicídio,82,7.77
BA,2017,Lesão corporal seguida de morte,71,6.72
BA,2017,Morte no trânsito,71,6.72
BA,2017,Suicídio ,64,06.06
BA,2017,Morte por intervenção de Agente do Estado,58,5.49
BA,2017,Suicídio,54,5.11
BA,2017,Mortes a esclarecer,37,3.5
BA,2017,Morte de Agente do Estado,18,1.7
BA,2018,Morte no trânsito,118,10.84
BA,2018,Feminicídio,89,8.17
BA,2018,Lesão corporal seguida de morte,83,7.62
BA,2018,Homicídio doloso,78,7.16
BA,2018,Morte por intervenção de Agente do Estado,63,5.79
BA,2018,Suicídio,42,3.86
BA,2018,Mortes a esclarecer,41,3.76
